Package	Version
abind	1.4-5
ade4	1.7-22
airr	1.5.0
alakazam	1.3.0
ape	5.7-1
askpass	1.2.0
assertthat	0.2.1
backports	1.4.1
base	4.3.2
base64enc	0.1-3
beanplot	1.3.1
BH	1.81.0-1
bibtex	0.5.1
Biobase	2.62.0
BiocGenerics	0.48.1
BiocManager	1.30.22
BiocParallel	1.36.0
BiocVersion	3.18.0
Biostrings	2.70.1
bit	4.0.5
bit64	4.0.5
bitops	1.0-7
blob	1.2.4
boot	1.3-28.1
brew	1.0-8
brio	1.1.3
broom	1.0.5
bslib	0.5.1
cachem	1.0.8
callr	3.7.3
captioner	2.2.3
caret	6.0-94
caTools	1.18.2
cellranger	1.1.0
class	7.3-22
cli	3.6.1
clipr	0.8.0
clock	0.7.0
cluster	2.1.4
codetools	0.2-19
colorspace	2.1-0
commonmark	1.9.0
compiler	4.3.2
conflicted	1.2.0
cpp11	0.4.6
crayon	1.5.2
credentials	2.0.1
crul	1.4.0
curl	5.1.0
data.table	1.14.8
datasets	4.3.2
DBI	1.1.3
dbplyr	2.4.0
DelayedArray	0.28.0
desc	1.4.2
devtools	2.4.5
diagram	1.6.5
diffobj	0.3.5
digest	0.6.33
diptest	0.76-0
doParallel	1.0.17
downlit	0.4.3
dplyr	1.1.3
dtplyr	1.3.1
e1071	1.7-13
ellipsis	0.3.2
evaluate	0.23
fansi	1.0.5
farver	2.1.1
fastmap	1.1.1
fontawesome	0.5.2
forcats	1.0.0
foreach	1.5.2
foreign	0.8-85
formatR	1.14
fs	1.6.3
futile.logger	1.4.3
futile.options	1.0.1
future	1.33.0
future.apply	1.11.0
gargle	1.5.2
generics	0.1.3
GenomeInfoDb	1.38.0
GenomeInfoDbData	1.2.11
GenomicAlignments	1.38.0
GenomicRanges	1.54.1
gert	2.0.0
getopt	1.20.4
ggplot2	3.4.4
ggthemes	4.2.4
gh	1.4.0
gistr	0.9.0
gitcreds	0.1.2
glmnet	4.1-8
globals	0.16.2
glue	1.6.2
googledrive	2.1.1
googlesheets4	1.1.1
gower	1.0.1
gplots	3.1.3
graphics	4.3.2
grDevices	4.3.2
grid	4.3.2
gtable	0.3.4
gtools	3.9.4
hardhat	1.3.0
haven	2.5.3
hexbin	1.28.3
highr	0.10
hms	1.1.3
htmltools	0.5.7
htmlwidgets	1.6.2
httpcode	0.3.0
httpuv	1.6.12
httr	1.4.7
httr2	0.2.3
ids	1.0.1
igraph	1.5.1
ini	0.3.1
ipred	0.9-14
IRanges	2.36.0
IRdisplay	1.1
IRkernel	1.3.2
isoband	0.2.7
iterators	1.0.14
jquerylib	0.1.4
jsonlite	1.8.7
kedd	1.0.3
KernSmooth	2.23-22
knitr	1.45
labeling	0.4.3
lambda.r	1.2.4
later	1.3.1
lattice	0.22-5
lava	1.7.3
lazyeval	0.2.2
lifecycle	1.0.4
listenv	0.9.0
lobstr	1.1.2
lubridate	1.9.3
magrittr	2.0.3
maps	3.4.1.1
MASS	7.3-60
